"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"REACTOME_PATHWAY","SARS-CoV-1 Infection","0.81%","143","8945","145","11494","1.60e-12","1.01e-10","1.27","4.26e-9","8.40e-11","1.15e-13"
"REACTOME_PATHWAY","Mitotic Metaphase and Anaphase","1.21%","213","8945","224","11494","2.43e-12","1.50e-10","1.22","6.46e-9","1.24e-10","4.70e-13"
"REACTOME_PATHWAY","Mitotic Anaphase","1.20%","212","8945","223","11494","2.97e-12","1.79e-10","1.22","7.90e-9","1.49e-10","5.78e-13"
"REACTOME_PATHWAY","Mitotic G1 phase and G1/S transition","0.78%","137","8945","139","11494","6.49e-12","3.84e-10","1.27","1.73e-8","3.18e-10","4.86e-13"
"REACTOME_PATHWAY","Influenza Infection","0.87%","154","8945","158","11494","7.95e-12","4.50e-10","1.25","2.11e-8","3.73e-10","8.83e-13"
"REACTOME_PATHWAY","Respiratory electron transport","0.87%","154","8945","158","11494","7.95e-12","4.50e-10","1.25","2.11e-8","3.73e-10","8.83e-13"
"REACTOME_PATHWAY","Cell Cycle Checkpoints","1.47%","259","8945","278","11494","8.82e-12","4.88e-10","1.20","2.34e-8","4.04e-10","2.34e-12"
"REACTOME_PATHWAY","Cellular response to starvation","0.87%","153","8945","157","11494","9.94e-12","5.39e-10","1.25","2.64e-8","4.47e-10","1.11e-12"
"REACTOME_PATHWAY","Toll Like Receptor 4 (TLR4) Cascade","0.82%","144","8945","147","11494","1.07e-11","5.70e-10","1.26","2.85e-8","4.72e-10","1.02e-12"
"REACTOME_PATHWAY","Death Receptor Signaling","0.86%","152","8945","156","11494","1.24e-11","6.47e-10","1.25","3.30e-8","5.36e-10","1.40e-12"
"REACTOME_PATHWAY","Programmed Cell Death","1.08%","190","8945","199","11494","1.44e-11","7.34e-10","1.23","3.82e-8","6.08e-10","2.59e-12"
"REACTOME_PATHWAY","Nucleotide Excision Repair","0.62%","110","8945","110","11494","2.93e-11","1.47e-9","1.28","7.79e-8","1.22e-9","9.06e-13"
"REACTOME_PATHWAY","RHOA GTPase cycle","0.83%","147","8945","151","11494","3.77e-11","1.84e-9","1.25","1.00e-7","1.52e-9","4.38e-12"
"REACTOME_PATHWAY","RAC1 GTPase cycle","1.01%","178","8945","186","11494","3.80e-11","1.84e-9","1.23","1.01e-7","1.52e-9","6.59e-12"
"REACTOME_PATHWAY","Synthesis of DNA","0.61%","108","8945","108","11494","4.78e-11","2.27e-9","1.28","1.27e-7","1.88e-9","1.50e-12"
"REACTOME_PATHWAY","Signaling by Receptor Tyrosine Kinases","2.70%","477","8945","538","11494","5.05e-11","2.36e-9","1.14","1.34e-7","1.95e-9","2.27e-11"
"REACTOME_PATHWAY","HIV Life Cycle","0.82%","145","8945","149","11494","5.86e-11","2.65e-9","1.25","1.56e-7","2.19e-9","6.90e-12"
"REACTOME_PATHWAY","Mitotic Prometaphase","1.12%","197","8945","208","11494","5.87e-11","2.65e-9","1.22","1.56e-7","2.19e-9","1.23e-11"
"REACTOME_PATHWAY","Mitotic G2-G2/M phases","1.02%","181","8945","190","11494","8.94e-11","3.96e-9","1.22","2.38e-7","3.28e-9","1.69e-11"
"REACTOME_PATHWAY","Toll Like Receptor 2 (TLR2) Cascade","0.65%","115","8945","116","11494","1.15e-10","4.94e-9","1.27","3.07e-7","4.10e-9","6.82e-12"
"REACTOME_PATHWAY","Toll Like Receptor TLR1:TLR2 Cascade","0.65%","115","8945","116","11494","1.15e-10","4.94e-9","1.27","3.07e-7","4.10e-9","6.82e-12"
"REACTOME_PATHWAY","DNA Repair","1.74%","308","8945","338","11494","1.30e-10","5.50e-9","1.17","3.46e-7","4.56e-9","4.52e-11"
"REACTOME_PATHWAY","G2/M Transition","1.01%","179","8945","188","11494","1.34e-10","5.55e-9","1.22","3.55e-7","4.60e-9","2.56e-11"
"REACTOME_PATHWAY","Interleukin-1 signaling","0.58%","102","8945","102","11494","2.07e-10","8.45e-9","1.28","5.49e-7","7.00e-9","6.88e-12"
"REACTOME_PATHWAY","Toll Like Receptor TLR6:TLR2 Cascade","0.63%","112","8945","113","11494","2.34e-10","9.01e-9","1.27","6.23e-7","7.46e-9","1.42e-11"
"REACTOME_PATHWAY","MyD88:MAL(TIRAP) cascade initiated on plasma membrane","0.63%","112","8945","113","11494","2.34e-10","9.01e-9","1.27","6.23e-7","7.46e-9","1.42e-11"
"REACTOME_PATHWAY","Leishmania infection","1.22%","216","8945","231","11494","2.34e-10","9.01e-9","1.20","6.23e-7","7.46e-9","5.96e-11"
"REACTOME_PATHWAY","Parasitic Infection Pathways","1.22%","216","8945","231","11494","2.34e-10","9.01e-9","1.20","6.23e-7","7.46e-9","5.96e-11"
"REACTOME_PATHWAY","M Phase","2.09%","369","8945","411","11494","2.37e-10","9.01e-9","1.15","6.30e-7","7.46e-9","9.54e-11"
"REACTOME_PATHWAY","Signal Transduction","12.23%","2160","8945","2628","11494","3.16e-10","1.17e-8","1.06","8.39e-7","9.68e-9","2.39e-10"
"REACTOME_PATHWAY","FCERI mediated NF-kB activation","0.73%","129","8945","132","11494","3.16e-10","1.17e-8","1.26","8.41e-7","9.68e-9","3.34e-11"
"REACTOME_PATHWAY","G1/S Transition","0.68%","120","8945","122","11494","3.31e-10","1.20e-8","1.26","8.79e-7","9.98e-9","2.81e-11"
"REACTOME_PATHWAY","Toll Like Receptor 9 (TLR9) Cascade","0.62%","110","8945","111","11494","3.76e-10","1.31e-8","1.27","9.99e-7","1.09e-8","2.32e-11"
"REACTOME_PATHWAY","TRIF (TICAM1)-mediated TLR4 signaling","0.62%","110","8945","111","11494","3.76e-10","1.31e-8","1.27","9.99e-7","1.09e-8","2.32e-11"
"REACTOME_PATHWAY","MyD88-independent TLR4 cascade","0.62%","110","8945","111","11494","3.76e-10","1.31e-8","1.27","9.99e-7","1.09e-8","2.32e-11"
"REACTOME_PATHWAY","Anchoring of the basal body to the plasma membrane","0.56%","99","8945","99","11494","4.29e-10","1.48e-8","1.28","1.14e-6","1.23e-8","1.47e-11"
"REACTOME_PATHWAY","CDC42 GTPase cycle","0.85%","151","8945","157","11494","4.79e-10","1.63e-8","1.24","1.27e-6","1.35e-8","7.59e-11"
"REACTOME_PATHWAY","Potential therapeutics for SARS","0.89%","158","8945","165","11494","5.21e-10","1.75e-8","1.23","1.38e-6","1.45e-8","9.01e-11"
"REACTOME_PATHWAY","tRNA processing","0.61%","108","8945","109","11494","6.02e-10","2.00e-8","1.27","1.60e-6","1.66e-8","3.79e-11"
"REACTOME_PATHWAY","Toll Like Receptor 7/8 (TLR7/8) Cascade","0.61%","107","8945","108","11494","7.62e-10","2.50e-8","1.27","2.03e-6","2.07e-8","4.83e-11"
"REACTOME_PATHWAY","PTEN Regulation","0.71%","125","8945","128","11494","7.74e-10","2.51e-8","1.25","2.06e-6","2.08e-8","8.42e-11"
"REACTOME_PATHWAY","Influenza Viral RNA Transcription and Replication","0.75%","133","8945","137","11494","8.15e-10","2.61e-8","1.25","2.17e-6","2.16e-8","1.04e-10"
"REACTOME_PATHWAY","Late Phase of HIV Life Cycle","0.75%","132","8945","136","11494","1.01e-9","3.21e-8","1.25","2.69e-6","2.66e-8","1.31e-10"
"REACTOME_PATHWAY","Regulation of TP53 Activity","0.87%","154","8945","161","11494","1.18e-9","3.70e-8","1.23","3.14e-6","3.06e-8","2.10e-10"
"REACTOME_PATHWAY","Toll Like Receptor 3 (TLR3) Cascade","0.59%","105","8945","106","11494","1.22e-9","3.77e-8","1.27","3.24e-6","3.12e-8","7.88e-11"
"REACTOME_PATHWAY","PIP3 activates AKT signaling","1.38%","243","8945","264","11494","1.25e-9","3.81e-8","1.18","3.31e-6","3.15e-8","3.87e-10"
"REACTOME_PATHWAY","Fcgamma receptor (FCGR) dependent phagocytosis","0.83%","146","8945","152","11494","1.36e-9","4.12e-8","1.23","3.62e-6","3.41e-8","2.23e-10"
"REACTOME_PATHWAY","Mitochondrial translation","0.53%","94","8945","94","11494","1.45e-9","4.32e-8","1.28","3.85e-6","3.58e-8","5.21e-11"
"REACTOME_PATHWAY","MyD88 dependent cascade initiated on endosome","0.58%","103","8945","104","11494","1.95e-9","5.76e-8","1.27","5.18e-6","4.77e-8","1.28e-10"
"REACTOME_PATHWAY","Apoptosis","0.89%","158","8945","166","11494","2.21e-9","6.46e-8","1.22","5.88e-6","5.35e-8","4.30e-10"
"REACTOME_PATHWAY","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation","0.58%","102","8945","103","11494","2.47e-9","7.12e-8","1.27","6.55e-6","5.90e-8","1.64e-10"
"REACTOME_PATHWAY","Intracellular signaling by second messengers","1.57%","278","8945","306","11494","2.67e-9","7.63e-8","1.17","7.09e-6","6.32e-8","9.57e-10"
"REACTOME_PATHWAY","KEAP1-NFE2L2 pathway","0.62%","110","8945","112","11494","3.25e-9","9.18e-8","1.26","8.63e-6","7.60e-8","3.00e-10"
"REACTOME_PATHWAY","Host Interactions of HIV factors","0.67%","118","8945","121","11494","3.66e-9","1.02e-7","1.25","9.72e-6","8.48e-8","4.21e-10"
"REACTOME_PATHWAY","Eukaryotic Translation Initiation","0.66%","117","8945","120","11494","4.56e-9","1.25e-7","1.25","1.21e-5","1.04e-7","5.30e-10"
"REACTOME_PATHWAY","Cap-dependent Translation Initiation","0.66%","117","8945","120","11494","4.56e-9","1.25e-7","1.25","1.21e-5","1.04e-7","5.30e-10"
"REACTOME_PATHWAY","Antigen processing: Ubiquitination & Proteasome degradation","1.52%","269","8945","296","11494","4.63e-9","1.26e-7","1.17","1.23e-5","1.04e-7","1.66e-9"
"REACTOME_PATHWAY","Signaling by ROBO receptors","1.09%","193","8945","207","11494","5.01e-9","1.34e-7","1.20","1.33e-5","1.11e-7","1.33e-9"
"REACTOME_PATHWAY","Mitotic Spindle Checkpoint","0.61%","108","8945","110","11494","5.11e-9","1.36e-7","1.26","1.36e-5","1.13e-7","4.81e-10"
"REACTOME_PATHWAY","Cellular response to chemical stress","1.05%","186","8945","199","11494","5.75e-9","1.51e-7","1.20","1.53e-5","1.25e-7","1.48e-9"
"REACTOME_PATHWAY","Mitochondrial translation elongation","0.50%","88","8945","88","11494","6.20e-9","1.57e-7","1.28","1.65e-5","1.30e-7","2.38e-10"
"REACTOME_PATHWAY","Regulation of PLK1 Activity at G2/M Transition","0.50%","88","8945","88","11494","6.20e-9","1.57e-7","1.28","1.65e-5","1.30e-7","2.38e-10"
"REACTOME_PATHWAY","Mitochondrial translation termination","0.50%","88","8945","88","11494","6.20e-9","1.57e-7","1.28","1.65e-5","1.30e-7","2.38e-10"
"REACTOME_PATHWAY","Mitochondrial translation initiation","0.50%","88","8945","88","11494","6.20e-9","1.57e-7","1.28","1.65e-5","1.30e-7","2.38e-10"
"REACTOME_PATHWAY","SARS-CoV-2 Infection","1.54%","272","8945","300","11494","6.84e-9","1.71e-7","1.17","1.82e-5","1.42e-7","2.50e-9"
"REACTOME_PATHWAY","Selenoamino acid metabolism","0.65%","115","8945","118","11494","7.09e-9","1.76e-7","1.25","1.88e-5","1.46e-7","8.37e-10"
"REACTOME_PATHWAY","Transcriptional regulation by RUNX3","0.49%","87","8945","87","11494","7.90e-9","1.93e-7","1.28","2.10e-5","1.60e-7","3.06e-10"
"REACTOME_PATHWAY","CLEC7A (Dectin-1) signaling","0.49%","87","8945","87","11494","7.90e-9","1.93e-7","1.28","2.10e-5","1.60e-7","3.06e-10"
"REACTOME_PATHWAY","Signaling by VEGF","0.60%","106","8945","108","11494","8.04e-9","1.94e-7","1.26","2.14e-5","1.61e-7","7.71e-10"
"REACTOME_PATHWAY","Cytokine Signaling in Immune system","3.88%","686","8945","801","11494","8.64e-9","2.07e-7","1.10","2.30e-5","1.71e-7","5.06e-9"
"REACTOME_PATHWAY","Toll Like Receptor 5 (TLR5) Cascade","0.54%","96","8945","97","11494","1.00e-8","2.34e-7","1.27","2.66e-5","1.94e-7","7.06e-10"
"REACTOME_PATHWAY","MyD88 cascade initiated on plasma membrane","0.54%","96","8945","97","11494","1.00e-8","2.34e-7","1.27","2.66e-5","1.94e-7","7.06e-10"
"REACTOME_PATHWAY","Toll Like Receptor 10 (TLR10) Cascade","0.54%","96","8945","97","11494","1.00e-8","2.34e-7","1.27","2.66e-5","1.94e-7","7.06e-10"
"REACTOME_PATHWAY","Protein localization","0.89%","157","8945","166","11494","1.03e-8","2.39e-7","1.22","2.74e-5","1.98e-7","2.24e-9"
"REACTOME_PATHWAY","Rab regulation of trafficking","0.69%","121","8945","125","11494","1.09e-8","2.49e-7","1.24","2.89e-5","2.07e-7","1.53e-9"
"REACTOME_PATHWAY","Signaling by TGF-beta Receptor Complex","0.54%","95","8945","96","11494","1.27e-8","2.86e-7","1.27","3.36e-5","2.37e-7","9.00e-10"
"REACTOME_PATHWAY","Separation of Sister Chromatids","0.96%","169","8945","180","11494","1.27e-8","2.86e-7","1.21","3.38e-5","2.37e-7","3.09e-9"
"REACTOME_PATHWAY","Global Genome Nucleotide Excision Repair (GG-NER)","0.48%","85","8945","85","11494","1.28e-8","2.86e-7","1.28","3.40e-5","2.37e-7","5.08e-10"
"REACTOME_PATHWAY","SRP-dependent cotranslational protein targeting to membrane","0.62%","110","8945","113","11494","2.12e-8","4.66e-7","1.25","5.64e-5","3.86e-7","2.62e-9"
"REACTOME_PATHWAY","GTP hydrolysis and joining of the 60S ribosomal subunit","0.62%","110","8945","113","11494","2.12e-8","4.66e-7","1.25","5.64e-5","3.86e-7","2.62e-9"
"REACTOME_PATHWAY","Neddylation","1.21%","214","8945","233","11494","2.34e-8","5.09e-7","1.18","6.21e-5","4.22e-7","7.47e-9"
"REACTOME_PATHWAY","Centrosome maturation","0.46%","82","8945","82","11494","2.64e-8","5.62e-7","1.28","7.02e-5","4.65e-7","1.08e-9"
"REACTOME_PATHWAY","Recruitment of mitotic centrosome proteins and complexes","0.46%","82","8945","82","11494","2.64e-8","5.62e-7","1.28","7.02e-5","4.65e-7","1.08e-9"
"REACTOME_PATHWAY","L13a-mediated translational silencing of Ceruloplasmin expression","0.62%","109","8945","112","11494","2.64e-8","5.62e-7","1.25","7.02e-5","4.65e-7","3.28e-9"
"REACTOME_PATHWAY","Asparagine N-linked glycosylation","1.61%","284","8945","316","11494","2.85e-8","6.01e-7","1.15","7.57e-5","4.98e-7","1.14e-8"
"REACTOME_PATHWAY","Regulation of actin dynamics for phagocytic cup formation","0.70%","123","8945","128","11494","3.49e-8","7.31e-7","1.23","9.29e-5","6.06e-7","5.78e-9"
"REACTOME_PATHWAY","Regulation of expression of SLITs and ROBOs","0.85%","150","8945","159","11494","3.97e-8","8.24e-7","1.21","1.05e-4","6.82e-7","9.00e-9"
"REACTOME_PATHWAY","SARS-CoV-1-host interactions","0.55%","98","8945","100","11494","4.86e-8","1.00e-6","1.26","1.29e-4","8.30e-7","5.03e-9"
"REACTOME_PATHWAY","Cilium Assembly","1.09%","192","8945","208","11494","5.03e-8","1.03e-6","1.19","1.34e-4","8.51e-7","1.52e-8"
"REACTOME_PATHWAY","Switching of origins to a post-replicative state","0.45%","79","8945","79","11494","5.44e-8","1.10e-6","1.28","1.45e-4","9.14e-7","2.31e-9"
"REACTOME_PATHWAY","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","0.64%","113","8945","117","11494","5.96e-8","1.19e-6","1.24","1.58e-4","9.87e-7","8.93e-9"
"REACTOME_PATHWAY","Nonsense-Mediated Decay (NMD)","0.64%","113","8945","117","11494","5.96e-8","1.19e-6","1.24","1.58e-4","9.87e-7","8.93e-9"
"REACTOME_PATHWAY","Mitochondrial protein degradation","0.55%","97","8945","99","11494","6.08e-8","1.21e-6","1.26","1.62e-4","9.99e-7","6.35e-9"
"REACTOME_PATHWAY","Metabolism of lipids","3.67%","649","8945","760","11494","6.25e-8","1.23e-6","1.10","1.66e-4","1.02e-6","3.73e-8"
"REACTOME_PATHWAY","Leishmania phagocytosis","0.68%","120","8945","125","11494","6.49e-8","1.25e-6","1.23","1.73e-4","1.04e-6","1.10e-8"
"REACTOME_PATHWAY","FCGR3A-mediated phagocytosis","0.68%","120","8945","125","11494","6.49e-8","1.25e-6","1.23","1.73e-4","1.04e-6","1.10e-8"
"REACTOME_PATHWAY","Parasite infection","0.68%","120","8945","125","11494","6.49e-8","1.25e-6","1.23","1.73e-4","1.04e-6","1.10e-8"
"REACTOME_PATHWAY","Transcription-Coupled Nucleotide Excision Repair (TC-NER)","0.44%","78","8945","78","11494","6.92e-8","1.32e-6","1.28","1.84e-4","1.10e-6","2.98e-9"
"REACTOME_PATHWAY","VEGFA-VEGFR2 Pathway","0.54%","95","8945","97","11494","9.50e-8","1.80e-6","1.26","2.53e-4","1.49e-6","1.01e-8"
"REACTOME_PATHWAY","Antigen activates B Cell Receptor (BCR) leading to generation of second messengers","0.53%","94","8945","96","11494","1.19e-7","2.24e-6","1.26","3.16e-4","1.85e-6","1.28e-8"
"REACTOME_PATHWAY","Cyclin A:Cdk2-associated events at S phase entry","0.42%","75","8945","75","11494","1.42e-7","2.61e-6","1.28","3.78e-4","2.16e-6","6.36e-9"
"REACTOME_PATHWAY","Regulation of mRNA stability by proteins that bind AU-rich elements","0.42%","75","8945","75","11494","1.42e-7","2.61e-6","1.28","3.78e-4","2.16e-6","6.36e-9"
"REACTOME_PATHWAY","Regulation of mitotic cell cycle","0.42%","75","8945","75","11494","1.42e-7","2.61e-6","1.28","3.78e-4","2.16e-6","6.36e-9"
"REACTOME_PATHWAY","APC/C-mediated degradation of cell cycle proteins","0.42%","75","8945","75","11494","1.42e-7","2.61e-6","1.28","3.78e-4","2.16e-6","6.36e-9"
"REACTOME_PATHWAY","SUMOylation","0.98%","173","8945","187","11494","1.73e-7","3.15e-6","1.19","4.59e-4","2.61e-6","5.11e-8"
"REACTOME_PATHWAY","AURKA Activation by TPX2","0.42%","74","8945","74","11494","1.81e-7","3.25e-6","1.28","4.80e-4","2.69e-6","8.18e-9"
"REACTOME_PATHWAY","RNA polymerase II transcribes snRNA genes","0.42%","74","8945","74","11494","1.81e-7","3.25e-6","1.28","4.80e-4","2.69e-6","8.18e-9"
"REACTOME_PATHWAY","Cyclin E associated events during G1/S transition","0.41%","73","8945","73","11494","2.30e-7","4.02e-6","1.28","6.10e-4","3.33e-6","1.05e-8"
"REACTOME_PATHWAY","Response of EIF2AK4 (GCN2) to amino acid deficiency","0.56%","99","8945","102","11494","2.30e-7","4.02e-6","1.25","6.12e-4","3.33e-6","3.14e-8"
"REACTOME_PATHWAY","Formation of a pool of free 40S subunits","0.56%","99","8945","102","11494","2.30e-7","4.02e-6","1.25","6.12e-4","3.33e-6","3.14e-8"
"REACTOME_PATHWAY","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","0.52%","91","8945","93","11494","2.31e-7","4.02e-6","1.26","6.14e-4","3.33e-6","2.57e-8"
"REACTOME_PATHWAY","Amplification of signal from the kinetochores","0.52%","91","8945","93","11494","2.31e-7","4.02e-6","1.26","6.14e-4","3.33e-6","2.57e-8"
"REACTOME_PATHWAY","Axon guidance","2.66%","470","8945","544","11494","2.61e-7","4.51e-6","1.11","6.94e-4","3.73e-6","1.44e-7"
"REACTOME_PATHWAY","Cellular response to heat stress","0.50%","89","8945","91","11494","3.60e-7","6.17e-6","1.26","9.56e-4","5.11e-6","4.08e-8"
"REACTOME_PATHWAY","Loss of proteins required for interphase microtubule organization from the centrosome","0.40%","71","8945","71","11494","3.71e-7","6.23e-6","1.28","9.84e-4","5.16e-6","1.75e-8"
"REACTOME_PATHWAY","Downstream signaling events of B Cell Receptor (BCR)","0.40%","71","8945","71","11494","3.71e-7","6.23e-6","1.28","9.84e-4","5.16e-6","1.75e-8"
"REACTOME_PATHWAY","Loss of Nlp from mitotic centrosomes","0.40%","71","8945","71","11494","3.71e-7","6.23e-6","1.28","9.84e-4","5.16e-6","1.75e-8"
"REACTOME_PATHWAY","Signaling by ALK in cancer","0.50%","88","8945","90","11494","4.49e-7","7.45e-6","1.26","1.19e-3","6.17e-6","5.14e-8"
"REACTOME_PATHWAY","Signaling by ALK fusions and activated point mutants","0.50%","88","8945","90","11494","4.49e-7","7.45e-6","1.26","1.19e-3","6.17e-6","5.14e-8"
"REACTOME_PATHWAY","Degradation of beta-catenin by the destruction complex","0.40%","70","8945","70","11494","4.71e-7","7.77e-6","1.28","1.25e-3","6.44e-6","2.25e-8"
"REACTOME_PATHWAY","SUMO E3 ligases SUMOylate target proteins","0.95%","167","8945","181","11494","4.84e-7","7.93e-6","1.19","1.28e-3","6.57e-6","1.48e-7"
"REACTOME_PATHWAY","Phospholipid metabolism","1.10%","195","8945","214","11494","5.17e-7","8.43e-6","1.17","1.37e-3","6.98e-6","1.81e-7"
